mode,batch,seq,tokens,status,report
decode-dbo,256,1024,20,OOM,
decode-dbo,2,2048,20,ok,results/decode-dbo/report_decode-dbo_b2_s2048_t20.md
decode-dbo,4,2048,20,ok,results/decode-dbo/report_decode-dbo_b4_s2048_t20.md
decode-dbo,8,2048,20,ok,results/decode-dbo/report_decode-dbo_b8_s2048_t20.md
decode-dbo,16,2048,20,ok,results/decode-dbo/report_decode-dbo_b16_s2048_t20.md
decode-dbo,32,2048,20,ok,results/decode-dbo/report_decode-dbo_b32_s2048_t20.md
decode-dbo,64,2048,20,ok,results/decode-dbo/report_decode-dbo_b64_s2048_t20.md
decode-dbo,96,2048,20,ok,results/decode-dbo/report_decode-dbo_b96_s2048_t20.md
decode-dbo,128,2048,20,ok,results/decode-dbo/report_decode-dbo_b128_s2048_t20.md
decode-dbo,192,2048,20,ok,results/decode-dbo/report_decode-dbo_b192_s2048_t20.md
decode-dbo,256,2048,20,OOM,
decode-dbo-crosslayer,2,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b2_s1024_t20.md
decode-dbo-crosslayer,4,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b4_s1024_t20.md
decode-dbo-crosslayer,8,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b8_s1024_t20.md
decode-dbo-crosslayer,16,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b16_s1024_t20.md
decode-dbo-crosslayer,32,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b32_s1024_t20.md
decode-dbo-crosslayer,64,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b64_s1024_t20.md
decode-dbo-crosslayer,96,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b96_s1024_t20.md
decode-dbo-crosslayer,128,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s1024_t20.md
decode-dbo-crosslayer,192,1024,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b192_s1024_t20.md
decode-dbo-crosslayer,256,1024,20,OOM,
decode-dbo-crosslayer,2,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b2_s2048_t20.md
decode-dbo-crosslayer,4,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b4_s2048_t20.md
decode-dbo-crosslayer,8,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b8_s2048_t20.md
decode-dbo-crosslayer,16,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b16_s2048_t20.md
decode-dbo-crosslayer,32,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b32_s2048_t20.md
decode-dbo-crosslayer,64,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b64_s2048_t20.md
decode-dbo-crosslayer,96,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b96_s2048_t20.md
decode-dbo-crosslayer,128,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b128_s2048_t20.md
decode-dbo-crosslayer,192,2048,20,ok,results/decode-dbo-crosslayer/report_decode-dbo-crosslayer_b192_s2048_t20.md
decode-dbo-crosslayer,256,2048,20,OOM,
