mode,batch,seq,tokens,preset,ffn_ep_backend,routing_backend,routing_update_mode,visible_chip_pool,active_world_size,status,tpot_ms,prefill_ms,total_time_ms,routing_table_version,routing_poll_count,routing_poll_ms,report,warmup_p2p,warmup_rounds,prefill_warmup_rounds,warmup_tag
decode-dbo,16,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,332.328632,3540.828957,335.717069,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s256_t20_comm-completion.md,false,5,auto,
decode-dbo,32,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,416.449155,4005.574525,326.370402,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s256_t20_comm-completion.md,false,5,auto,
decode-dbo,64,256,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,578.831233,4647.371473,397.212595,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s256_t20_comm-completion.md,false,5,auto,
decode-dbo,2,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,233.149594,2637.405396,263.688474,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s512_t20_comm-completion.md,false,5,auto,
decode-dbo,4,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,252.673639,2831.492845,273.150062,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s512_t20_comm-completion.md,false,5,auto,
decode-dbo,8,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,300.623537,3732.360719,334.622479,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s512_t20_comm-completion.md,false,5,auto,
decode-dbo,16,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,355.976342,3958.226252,328.674242,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s512_t20_comm-completion.md,false,5,auto,
decode-dbo,32,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,437.510051,4708.994469,376.649856,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s512_t20_comm-completion.md,false,5,auto,
decode-dbo,64,512,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,620.371163,6126.022533,428.888816,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s512_t20_comm-completion.md,false,5,auto,
decode-dbo,2,1024,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,217.574107,2753.186445,264.340618,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s1024_t20_comm-completion.md,false,5,auto,
decode-dbo,4,1024,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,264.287920,3470.108664,314.108583,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s1024_t20_comm-completion.md,false,5,auto,
decode-dbo,8,1024,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,284.825855,4137.513907,301.563369,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s1024_t20_comm-completion.md,false,5,auto,
decode-dbo,16,1024,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,352.042688,4628.807119,346.714946,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s1024_t20_comm-completion.md,false,5,auto,
decode-dbo,32,1024,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,463.899262,6066.901800,386.894413,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s1024_t20_comm-completion.md,false,5,auto,
decode-dbo,64,1024,20,npu-ep7,broadcast_reduce_overlap,static,oneshot,16,8,ok,684.689373,9216.019335,433.127267,,0,0.000000,results_npu_ep7_host2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s1024_t20_comm-completion.md,false,5,auto,
