file,batch,seq,tokens,routing_backend,routing_update_mode,routing_table_version,routing_poll_count,decode_tpot_ms,compute_ratio,total_ep_dispatch_ms,total_ep_dispatch_bytes,total_ep_dispatch_gib,dispatch_effective_gib_s,total_ep_reduce_ms,total_ep_reduce_bytes,total_ep_reduce_gib,reduce_effective_gib_s,total_ep_overlap_hidden_ms
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b32_s512_t20.json,32,512,20,coordinator,oneshot,1,0,460.366840,0.904909,286.415992,6414336,0.005974,0.020857,118.571683,6291456,0.005859,0.049416,108.613667
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b4_s128_t20.json,4,128,20,coordinator,oneshot,1,0,259.723702,0.877922,210.824091,801792,0.000747,0.003542,80.610882,786432,0.000732,0.009086,71.730792
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b4_s256_t20.json,4,256,20,coordinator,oneshot,1,0,253.539827,0.862930,189.214755,801792,0.000747,0.003946,87.031211,786432,0.000732,0.008416,77.670511
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b4_s512_t20.json,4,512,20,coordinator,oneshot,1,0,261.619238,0.879230,224.562022,801792,0.000747,0.003325,86.055269,786432,0.000732,0.008511,76.614992
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b64_s128_t20.json,64,128,20,coordinator,oneshot,1,0,629.823643,0.905810,281.186596,12828672,0.011948,0.042490,136.720418,12582912,0.011719,0.085713,126.034138
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b64_s256_t20.json,64,256,20,coordinator,oneshot,1,0,611.960007,0.908877,297.581888,12828672,0.011948,0.040149,130.090239,12582912,0.011719,0.090082,120.137587
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b64_s512_t20.json,64,512,20,coordinator,oneshot,1,0,627.105484,0.903334,268.742910,12828672,0.011948,0.044457,132.333099,12582912,0.011719,0.088555,122.277090
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b8_s128_t20.json,8,128,20,coordinator,oneshot,1,0,293.061648,0.896884,238.365687,1603584,0.001493,0.006265,91.930924,1572864,0.001465,0.015934,83.568229
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b8_s256_t20.json,8,256,20,coordinator,oneshot,1,0,298.879684,0.885398,240.724835,1603584,0.001493,0.006204,88.901158,1572864,0.001465,0.016477,79.165852
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r6_xhost_coord_matrix_b8_s512_t20.json,8,512,20,coordinator,oneshot,1,0,297.365489,0.889212,232.249226,1603584,0.001493,0.006430,78.864780,1572864,0.001465,0.018574,70.204804
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b128_s128_t20.json,128,128,20,coordinator,oneshot,1,0,886.326672,0.907946,311.310520,25657344,0.023895,0.076757,157.883636,25165824,0.023438,0.148448,146.048289
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b128_s256_t20.json,128,256,20,coordinator,oneshot,1,0,846.868392,0.918844,334.636135,25657344,0.023895,0.071407,116.790979,25165824,0.023438,0.200679,107.357595
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b128_s512_t20.json,128,512,20,coordinator,oneshot,1,0,913.168782,0.916083,357.740288,25657344,0.023895,0.066795,148.720668,25165824,0.023438,0.157594,136.861697
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b16_s128_t20.json,16,128,20,coordinator,oneshot,1,0,363.983364,0.895092,262.635369,3207168,0.002987,0.011373,105.541144,3145728,0.002930,0.027759,95.851499
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b16_s256_t20.json,16,256,20,coordinator,oneshot,1,0,369.603024,0.892430,274.300329,3207168,0.002987,0.010889,109.658361,3145728,0.002930,0.026716,98.672132
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b16_s512_t20.json,16,512,20,coordinator,oneshot,1,0,349.960506,0.890588,246.605914,3207168,0.002987,0.012112,100.872256,3145728,0.002930,0.029044,91.346098
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b256_s128_t20.json,256,128,20,coordinator,oneshot,1,0,1309.066719,0.929023,394.623940,51314688,0.047791,0.121104,145.169255,50331648,0.046875,0.322899,134.921089
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b256_s256_t20.json,256,256,20,coordinator,oneshot,1,0,1369.711526,0.937451,447.277929,51314688,0.047791,0.106847,147.191022,50331648,0.046875,0.318464,137.631060
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b256_s512_t20.json,256,512,20,coordinator,oneshot,1,0,1432.876729,0.944507,471.620999,51314688,0.047791,0.101332,152.913951,50331648,0.046875,0.306545,144.381339
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b2_s128_t20.json,2,128,20,coordinator,oneshot,1,0,227.024420,0.874170,204.963837,400896,0.000373,0.001822,81.038384,393216,0.000366,0.004519,72.200696
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b2_s256_t20.json,2,256,20,coordinator,oneshot,1,0,224.196527,0.863932,207.378270,400896,0.000373,0.001800,85.444800,393216,0.000366,0.004286,75.156491
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b2_s512_t20.json,2,512,20,coordinator,oneshot,1,0,230.244122,0.873735,219.223927,400896,0.000373,0.001703,78.559190,393216,0.000366,0.004662,69.056062
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b32_s128_t20.json,32,128,20,coordinator,oneshot,1,0,457.762691,0.891366,236.358721,6414336,0.005974,0.025274,117.634455,6291456,0.005859,0.049810,107.890969
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b32_s256_t20.json,32,256,20,coordinator,oneshot,1,0,447.338599,0.909321,295.443222,6414336,0.005974,0.020220,91.563461,6291456,0.005859,0.063993,82.650354
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b32_s512_t20.json,32,512,20,coordinator,oneshot,1,0,460.352576,0.912629,304.471584,6414336,0.005974,0.019620,99.068747,6291456,0.005859,0.059145,90.596855
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b4_s128_t20.json,4,128,20,coordinator,oneshot,1,0,259.724108,0.882418,219.198685,801792,0.000747,0.003407,71.997283,786432,0.000732,0.010173,63.682263
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b4_s256_t20.json,4,256,20,coordinator,oneshot,1,0,253.530707,0.879504,207.096627,801792,0.000747,0.003606,68.809269,786432,0.000732,0.010644,60.817801
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b4_s512_t20.json,4,512,20,coordinator,oneshot,1,0,261.613662,0.876049,226.197005,801792,0.000747,0.003301,84.212071,786432,0.000732,0.008697,74.394799
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b64_s128_t20.json,64,128,20,coordinator,oneshot,1,0,629.819509,0.916032,303.525009,12828672,0.011948,0.039363,110.609157,12582912,0.011719,0.105947,101.928197
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b64_s256_t20.json,64,256,20,coordinator,oneshot,1,0,611.955174,0.910836,308.264874,12828672,0.011948,0.038758,119.232904,12582912,0.011719,0.098285,109.495968
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b64_s512_t20.json,64,512,20,coordinator,oneshot,1,0,627.106708,0.899867,274.324269,12828672,0.011948,0.043553,127.737372,12582912,0.011719,0.091741,117.152425
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b8_s128_t20.json,8,128,20,coordinator,oneshot,1,0,293.063314,0.881420,239.016551,1603584,0.001493,0.006248,93.060022,1572864,0.001465,0.015741,83.144813
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b8_s256_t20.json,8,256,20,coordinator,oneshot,1,0,298.884173,0.876626,237.462716,1603584,0.001493,0.006289,94.477877,1572864,0.001465,0.015505,83.884875
results_npu/coordinator_arch/crosshost_1a7f_decode_dbo/decode-dbo/timing_ffn_expert_r7_xhost_coord_matrix_b8_s512_t20.json,8,512,20,coordinator,oneshot,1,0,297.356879,0.878789,227.725043,1603584,0.001493,0.006558,86.133637,1572864,0.001465,0.017007,76.769024
