root,mode,tag,batch,seq,tokens,status,serial_cache,serial_baseline_ms,dbo_ms,speedup,note
results,decode,decode-dbo_b32_s512_t20,32,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b32_s512_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo_b4_s128_t20,4,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b4_s128_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b4_s256_t20,4,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b4_s256_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b4_s512_t20,4,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b4_s512_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b64_s128_t20,64,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b64_s128_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b64_s256_t20,64,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b64_s256_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo_b64_s512_t20,64,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b64_s512_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo_b8_s128_t20,8,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b8_s128_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b8_s256_t20,8,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b8_s256_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b8_s512_t20,8,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b8_s512_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo_b96_s128_t20,96,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b96_s128_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo_b96_s256_t20,96,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b96_s256_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo_b96_s512_t20,96,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b96_s512_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo-crosslayer_b128_s128_t20,128,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b128_s128_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo-crosslayer_b128_s256_t20,128,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b128_s256_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo-crosslayer_b128_s512_t20,128,512,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b128_s512_t20.json,,0.000000,,exact TPOT baseline missing; decode_tpot_ms unavailable
results,decode,decode-dbo-crosslayer_b16_s128_t20,16,128,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b16_s128_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
results,decode,decode-dbo-crosslayer_b16_s256_t20,16,256,20,baseline-missing,/home/zyz/afd_demo/results/serial/cache/b16_s256_t20.json,,0.000000,,decode_tpot_ms missing; legacy decode_step_ms is not used for exact TPOT speedup
