phase,case,batch,seq_or_cache,latency_median_ms,latency_mean_ms,speedup_vs_hf,ok_count,source,ms_per_b_cache,ms_per_b,ms_per_b_s,ms_per_b_s2
decode_full_layer,official_fused_both,32,128,0.6448223333184918,0.6616737680613167,1.1492594457043699,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,0.00015742732747033492,0.02015069791620287,,
decode_full_layer,official_fused_both,32,512,0.6421606910104553,0.6583311543282535,1.2022276534434995,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,3.919437811343111e-05,0.020067521594076727,,
decode_full_layer,official_fused_both,32,1024,0.6487910092497866,0.6602641256500242,1.62068648310504,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,1.979953031157796e-05,0.02027471903905583,,
prefill_core,hf_sdpa,1,128,0.0791306762645642,0.07917310964937012,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0006182084083169078,4.829753189975842e-06
prefill_core,hf_sdpa,1,512,0.11584236441800991,0.11574115423071715,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0002262546180039256,4.419035507889172e-07
prefill_core,hf_sdpa,1,1024,0.16582450674225885,0.16561490257218894,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00016193799486548716,1.581425731108273e-07
prefill_core,hf_sdpa,8,128,0.11940401357909043,0.1195921116353323,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0001166054820108305,9.109803282096133e-07
prefill_core,hf_sdpa,8,512,0.28853832433621085,0.28825962282199824,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,7.044392683989523e-05,1.3758579460917037e-07
prefill_core,hf_sdpa,8,1024,0.6970060057938099,0.6970807622160969,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,8.508374094162718e-05,8.30895907633078e-08
prefill_core,hf_sdpa,32,128,0.2107463466624419,0.2106532758464002,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,5.145174479063523e-05,4.0196675617683775e-07
prefill_core,hf_sdpa,32,512,0.8775690415253242,0.8779186561393241,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,5.35625635696609e-05,1.0461438197199395e-07
prefill_core,hf_sdpa,32,1024,2.442253675932686,2.4426206396633967,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,7.453166735634417e-05,7.278483140267986e-08
prefill_core,official_pfa,1,128,0.18015620298683643,0.1811901262650887,0.43923370360079184,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0014074703358346596,1.0995861998708278e-05
prefill_core,official_pfa,1,512,0.191432850745817,0.19086008412866956,0.6051331522603948,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00037389228661292384,7.302583722908669e-07
prefill_core,official_pfa,1,1024,0.21861299561957517,0.2199814140719051,0.758529959631597,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00021348925353474138,2.0848559915502088e-07
prefill_core,official_pfa,8,128,0.19948134043564397,0.1988554269903236,0.5985723442519787,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00019480599651918357,1.5219218478061216e-06
prefill_core,official_pfa,8,512,0.370867356347541,0.3715190897411149,0.7780094942241847,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,9.054378817078637e-05,1.7684333627106713e-07
prefill_core,official_pfa,8,1024,0.9516910261784991,0.9509794003356041,0.7323868636154183,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00011617322096905507,1.1345041110259284e-07
prefill_core,official_pfa,32,128,0.3380804943541686,0.3394946478591818,0.6233614484770211,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,8.253918319193569e-05,6.448373686869976e-07
prefill_core,official_pfa,32,512,1.1598741402849555,1.1604729273434107,0.7566071274851639,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,7.079309938262668e-05,1.3826777223169273e-07
prefill_core,official_pfa,32,1024,3.4609936410561204,3.4621910179137356,0.7056510150615108,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00010562114383105836,1.0314564827251793e-07
prefill_full_layer,hf,1,128,0.756338161105911,0.7544068567868736,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00590889188363993,4.616321784093695e-05
prefill_full_layer,hf,1,512,0.7647483143955469,0.770652548655764,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0014936490515538026,2.9172833038160206e-06
prefill_full_layer,hf,1,1024,0.8942890369022887,0.8935645309975371,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0008733291375998913,8.528604859373938e-07
prefill_full_layer,hf,8,128,0.7998583605512977,0.8068973709466971,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0007811116802258766,6.102435001764661e-06
prefill_full_layer,hf,8,512,1.7826730230202277,1.7834563655520064,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00043522290601079777,8.500447383023394e-07
prefill_full_layer,hf,8,1024,3.5226375330239534,3.529576220898889,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00043000946448046307,4.199311176567022e-07
prefill_full_layer,hf,32,128,1.6716473425428071,1.6715381756916434,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00040811702698799,3.188414273343672e-06
prefill_full_layer,hf,32,512,7.597254977251092,7.599215789620454,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0004636996446076106,9.056633683742394e-07
prefill_full_layer,hf,32,1024,17.755498372328777,17.751763021806255,1.0,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0005418548087258538,5.291550866463416e-07
