pipeline_file,batch,seq,tokens,num_micro_batches,mb_sizes,decode_tpot_ms,prefill_ms,decode_loop_ms,tbt_mean_ms,tbt_p50_ms,tbt_p99_ms,pipeline_layer_count,pipeline_attn_mb_event_count,pipeline_attn_per_mb_median_ms,pipeline_attn_per_layer_sum_median_ms,pipeline_attn_per_layer_sum_p90_ms,pipeline_attn_per_layer_sum_p99_ms,single_layer_case,single_layer_global_ms,single_layer_mb_sum_ms,missing_mb_sizes,pipeline_vs_single_global,pipeline_vs_single_mb_sum
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s1024_t10_r2.json,32,1024,9,2,"16,16",711.575826552386,7039.56744982861,6404.182438971475,710.2308756827066,743.2088491041213,850.1040276978165,47,94,0.9042504243552685,1.8114619888365269,1.8522920552641153,1.9303826102986932,official_fused_both,0.6487910092497866,1.2580680195242167,,2.792057785959713,1.4398760327137128
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s1024_t10_r3.json,32,1024,9,2,"16,16",698.6323529078314,6411.774727050215,6287.691176170483,697.2205282395912,715.2068009600043,833.1331876851618,47,94,0.968136009760201,1.93489296361804,2.0393943414092064,2.134649413637817,official_fused_both,0.6487910092497866,1.2580680195242167,,2.9823054512660487,1.5379875599649921
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s128_t10_r1.json,32,128,9,2,"16,16",750.707768343596,2085.722660878673,6756.369915092364,749.4180377883216,776.7076031304896,967.1779762860388,47,94,0.8531354833394289,1.70555105432868,1.7985790967941284,1.8619917798787355,official_fused_both,0.6448223333184918,1.2569353760530553,,2.6449937699137838,1.3569122858840506
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s128_t10_r2.json,32,128,9,2,"16,16",736.4248249990245,2153.973995009437,6627.82342499122,734.8777428528088,748.9050459116697,839.171802829951,47,94,0.9600410703569651,1.9291320350021124,1.9992469809949398,2.0930254319682717,official_fused_both,0.6448223333184918,1.2569353760530553,,2.991726457540781,1.5347901505166035
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s128_t10_r3.json,32,128,9,2,"16,16",831.3944617596766,2151.8593030050397,7482.550155837089,829.9429670183195,881.0457980725914,978.2005431689322,47,94,0.8989450288936496,1.798911951482296,1.8770941067487001,1.9810494361445308,official_fused_both,0.6448223333184918,1.2569353760530553,,2.789779228372002,1.431188894636031
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s512_t10_r1.json,32,512,9,2,"16,16",755.0410571145928,3480.649405159056,6795.369514031336,753.5899457676957,769.9161299970001,855.5614523496479,47,94,0.9507759241387248,1.9021620973944664,1.9552182871848345,2.02626621350646,official_fused_both,0.6421606910104553,1.2483779961864152,,2.962127897304596,1.5237068445657098
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s512_t10_r2.json,32,512,9,2,"16,16",829.0749880899158,3469.9039270635694,7461.674892809242,827.7578909312272,868.3884779457003,991.6159428283572,47,94,0.8876159554347396,1.777180004864931,1.8085092771798372,1.9452804187312722,official_fused_both,0.6421606910104553,1.2483779961864152,,2.7675004554833396,1.4235912602544398
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b32_s512_t10_r3.json,32,512,9,2,"16,16",708.0339884592427,3497.0212399493903,6372.305896133184,706.6431057949861,734.6528840716928,809.1591285448521,47,94,0.8941905107349157,1.7959119286388159,1.8294740468263626,1.9603160815313458,official_fused_both,0.6421606910104553,1.2483779961864152,,2.7966706056281727,1.4385962698197379
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s1024_t10_r1.json,8,1024,9,2,"4,4",364.82751312562164,2603.387522045523,3283.4476181305945,363.3702605600572,353.8918071426451,424.5169342774898,47,94,0.8730455301702023,1.7423010431230068,1.885000616312027,2.394531732425093,official_fused_both,0.6318757077679038,1.2631313875317574,,2.7573477215601025,1.3793506046331243
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s1024_t10_r2.json,8,1024,9,2,"4,4",334.2203402426094,2571.1690061725676,3007.9830621834844,332.736788265821,316.625548992306,418.4988144505769,47,94,0.9926609927788377,1.9857720471918583,2.0692252553999424,2.2804367216303945,official_fused_both,0.6318757077679038,1.2631313875317574,,3.142662429936709,1.5721025277284801
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s1024_t10_r3.json,8,1024,9,2,"4,4",363.0026360042393,2565.621971152723,3267.023724038154,361.66680873268183,345.91830614954233,457.98980046994984,47,94,0.9489560034126043,1.8987220246344805,1.941676577553153,2.43742755614221,official_fused_both,0.6318757077679038,1.2631313875317574,,3.004897959033275,1.5031864803428798
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s128_t10_r1.json,8,128,9,2,"4,4",367.60659634860025,1721.7362790834159,3308.4593671374023,366.20802853980825,356.25068191438913,435.62141044065356,47,94,0.8805454708635807,1.7626818735152483,1.8068294506520033,1.867426815442741,official_fused_both,0.6461360026150942,1.2651512709756694,,2.72803537704319,1.3932577976670641
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s128_t10_r2.json,8,128,9,2,"4,4",316.0305930974169,1666.9903099536896,2844.275337876752,314.5660868483699,296.937583014369,367.65859664417803,47,94,0.8976010140031576,1.798470737412572,1.8274039961397648,1.9150185165926814,official_fused_both,0.6461360026150942,1.2651512709756694,,2.783424434072169,1.4215460069258066
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s128_t10_r3.json,8,128,9,2,"4,4",329.98266422914133,1676.4541799202561,2969.843978062272,328.2777735083881,322.4151961039752,352.75045548565686,47,94,0.9819259867072105,1.9743419252336025,2.0373294595628977,3.3143827598541975,official_fused_both,0.6461360026150942,1.2651512709756694,,3.055613550773963,1.5605579905958706
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s512_t10_r1.json,8,512,9,2,"4,4",322.8043418946779,2130.3347249049693,2905.2390770521015,321.4598008069313,298.181070946157,402.560588279739,47,94,0.921171042136848,1.8442219588905573,1.9179942552000284,3.410473670810459,official_fused_both,0.6437423483779033,1.261324699347218,,2.864844861515811,1.4621310118203585
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s512_t10_r2.json,8,512,9,2,"4,4",348.2599107859035,2158.2735429983586,3134.339197073132,346.8462862074375,336.7542380001396,390.3163346275687,47,94,0.913886004127562,1.8269720021635294,1.8924604170024395,1.9709622440859675,official_fused_both,0.6437423483779033,1.261324699347218,,2.8380484937290804,1.4484549482849696
results_npu/attention_scope_aligned/decode_dbo/timing_attention_aligned_decode-dbo_b8_s512_t10_r3.json,8,512,9,2,"4,4",325.66468557342887,2122.4552940111607,2930.98217016086,324.2197941678266,309.11158095113933,387.11507024243474,47,94,1.0592519538477063,2.1214440930634737,2.158803353086114,2.2294164588674903,official_fused_both,0.6437423483779033,1.261324699347218,,3.2954863050552308,1.6819175063815044
