mode,batch,seq,tokens,preset,ffn_ep_backend,visible_chip_pool,active_world_size,status,report
decode-dbo,4,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s1024_t20.md
decode-dbo,8,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s1024_t20.md
decode-dbo,16,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s1024_t20.md
decode-dbo,32,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s1024_t20.md
decode-dbo,64,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s1024_t20.md
decode-dbo,128,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s1024_t20.md
decode-dbo,256,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b256_s1024_t20.md
decode-dbo,512,1024,20,npu-ep7,broadcast_reduce_overlap,16,8,OOM,
decode-dbo,2,2048,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b2_s2048_t20.md
decode-dbo,4,2048,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b4_s2048_t20.md
decode-dbo,8,2048,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b8_s2048_t20.md
decode-dbo,16,2048,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b16_s2048_t20.md
decode-dbo,32,2048,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b32_s2048_t20.md
decode-dbo,64,2048,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b64_s2048_t20.md
decode-dbo,128,2048,20,npu-ep7,broadcast_reduce_overlap,16,8,ok,results_npu/full_matrix_v2/decode-dbo/report_decode-dbo_npu_ep7_broadcast_reduce_overlap_b128_s2048_t20.md
decode-dbo,256,2048,20,npu-ep7,broadcast_reduce_overlap,16,8,OOM,
