mode,batch,seq,tokens,status,decode_tpot_ms,h1_hbm_usage_rate_samples,h1_hbm_usage_rate_mean,h1_hbm_usage_rate_p95,h1_hbm_usage_rate_max,h1_hbm_usage_rate_nonzero_mean,h1_aicore_usage_rate_samples,h1_aicore_usage_rate_mean,h1_aicore_usage_rate_p95,h1_aicore_usage_rate_max,h1_aicore_usage_rate_nonzero_mean,h1_aivector_usage_rate_samples,h1_aivector_usage_rate_mean,h1_aivector_usage_rate_p95,h1_aivector_usage_rate_max,h1_aivector_usage_rate_nonzero_mean,h1_aicpu_usage_rate_samples,h1_aicpu_usage_rate_mean,h1_aicpu_usage_rate_p95,h1_aicpu_usage_rate_max,h1_aicpu_usage_rate_nonzero_mean,h1_ctrlcpu_usage_rate_samples,h1_ctrlcpu_usage_rate_mean,h1_ctrlcpu_usage_rate_p95,h1_ctrlcpu_usage_rate_max,h1_ctrlcpu_usage_rate_nonzero_mean,h1_hbm_bandwidth_usage_rate_samples,h1_hbm_bandwidth_usage_rate_mean,h1_hbm_bandwidth_usage_rate_p95,h1_hbm_bandwidth_usage_rate_max,h1_hbm_bandwidth_usage_rate_nonzero_mean,h1_npu_utilization_samples,h1_npu_utilization_mean,h1_npu_utilization_p95,h1_npu_utilization_max,h1_npu_utilization_nonzero_mean,h1_aicube_usage_rate_samples,h1_aicube_usage_rate_mean,h1_aicube_usage_rate_p95,h1_aicube_usage_rate_max,h1_aicube_usage_rate_nonzero_mean,h2_hbm_usage_rate_samples,h2_hbm_usage_rate_mean,h2_hbm_usage_rate_p95,h2_hbm_usage_rate_max,h2_hbm_usage_rate_nonzero_mean,h2_aicore_usage_rate_samples,h2_aicore_usage_rate_mean,h2_aicore_usage_rate_p95,h2_aicore_usage_rate_max,h2_aicore_usage_rate_nonzero_mean,h2_aivector_usage_rate_samples,h2_aivector_usage_rate_mean,h2_aivector_usage_rate_p95,h2_aivector_usage_rate_max,h2_aivector_usage_rate_nonzero_mean,h2_aicpu_usage_rate_samples,h2_aicpu_usage_rate_mean,h2_aicpu_usage_rate_p95,h2_aicpu_usage_rate_max,h2_aicpu_usage_rate_nonzero_mean,h2_ctrlcpu_usage_rate_samples,h2_ctrlcpu_usage_rate_mean,h2_ctrlcpu_usage_rate_p95,h2_ctrlcpu_usage_rate_max,h2_ctrlcpu_usage_rate_nonzero_mean,h2_hbm_bandwidth_usage_rate_samples,h2_hbm_bandwidth_usage_rate_mean,h2_hbm_bandwidth_usage_rate_p95,h2_hbm_bandwidth_usage_rate_max,h2_hbm_bandwidth_usage_rate_nonzero_mean,h2_npu_utilization_samples,h2_npu_utilization_mean,h2_npu_utilization_p95,h2_npu_utilization_max,h2_npu_utilization_nonzero_mean,h2_aicube_usage_rate_samples,h2_aicube_usage_rate_mean,h2_aicube_usage_rate_p95,h2_aicube_usage_rate_max,h2_aicube_usage_rate_nonzero_mean
decode-dbo,256,512,20,OK,1119.497,127,16.047,50.0,50.0,16.047,127,35.929,100.0,100.0,89.471,127,33.591,96.0,96.0,85.32,127,1.197,12.0,13.0,10.857,127,6.535,13.7,56.0,6.535,127,1.323,9.3,37.0,15.273,127,8.528,79.0,100.0,57.0,127,30.913,96.0,96.0,85.348,272,9.368,33.35,41.0,9.368,272,0.29,0.9,21.0,5.643,272,0.188,0.0,18.0,3.923,272,0.004,0.0,1.0,1.0,272,5.665,13.0,28.0,5.815,272,0.25,0.45,12.0,4.857,272,1.518,13.0,37.0,12.906,272,0.029,0.0,1.0,1.0
decode-dbo-crosslayer,256,512,20,OK,1119.637,129,16.605,50.0,50.0,16.605,129,48.651,100.0,100.0,89.657,129,46.116,100.0,100.0,86.217,129,1.256,11.0,13.0,4.263,129,10.837,21.6,97.0,11.095,129,2.403,14.6,33.0,13.478,129,9.69,88.8,100.0,30.488,129,44.519,100.0,100.0,88.354,280,9.804,35.0,41.0,9.804,280,0.275,0.05,29.0,5.5,280,0.332,1.0,24.0,5.471,280,0.007,0.0,1.0,1.0,280,5.725,16.0,30.0,5.85,280,0.254,1.0,15.0,4.176,280,1.514,13.0,31.0,14.621,280,0.036,0.0,3.0,1.25
serial,2,1024,20,OK,177.063,108,7.546,9.65,11.0,7.546,108,0.759,0.0,51.0,41.0,108,0.019,0.0,1.0,1.0,108,0.028,0.0,1.0,1.0,108,6.667,15.0,62.0,6.792,108,0.009,0.0,1.0,1.0,108,0.528,0.0,27.0,19.0,108,0.009,0.0,1.0,1.0,233,4.845,10.0,12.0,4.845,233,0.013,0.0,1.0,1.0,233,0.0,0.0,0.0,0.0,233,0.026,0.0,2.0,1.2,233,4.94,12.4,32.0,4.983,233,0.004,0.0,1.0,1.0,233,0.352,0.0,20.0,11.714,233,0.0,0.0,0.0,0.0
decode-dbo,2,1024,20,OK,230.069,111,7.64,10.0,11.0,7.64,111,0.757,0.0,51.0,42.0,111,0.027,0.0,2.0,1.5,111,0.036,0.0,1.0,1.0,111,5.514,12.5,26.0,5.615,111,0.027,0.0,1.0,1.0,111,0.739,0.0,41.0,27.333,111,0.018,0.0,1.0,1.0,240,5.004,11.0,13.0,5.004,240,0.017,0.0,1.0,1.0,240,0.004,0.0,1.0,1.0,240,0.058,0.0,2.0,1.75,240,4.683,11.0,23.0,4.743,240,0.008,0.0,1.0,1.0,240,0.483,0.0,27.0,12.889,240,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,2,1024,20,OK,231.644,109,7.661,10.0,11.0,7.661,109,0.055,0.0,3.0,3.0,109,0.037,0.0,2.0,2.0,109,0.028,0.0,2.0,1.5,109,5.44,12.6,19.0,5.44,109,0.046,0.0,2.0,1.25,109,0.872,0.0,48.0,31.667,109,0.018,0.0,1.0,1.0,237,5.0,10.2,13.0,5.0,237,0.034,0.0,3.0,1.6,237,0.013,0.0,1.0,1.0,237,0.046,0.0,2.0,1.571,237,4.844,12.2,30.0,5.013,237,0.008,0.0,2.0,2.0,237,0.608,0.0,27.0,16.0,237,0.0,0.0,0.0,0.0
serial,4,1024,20,OK,195.873,113,7.628,10.4,11.0,7.628,113,0.071,0.0,4.0,4.0,113,0.044,0.0,3.0,2.5,113,0.018,0.0,1.0,1.0,113,5.398,10.4,19.0,5.398,113,0.044,0.0,2.0,1.25,113,0.965,0.0,41.0,36.333,113,0.0,0.0,0.0,0.0,243,4.955,11.0,13.0,4.955,243,0.004,0.0,1.0,1.0,243,0.025,0.0,2.0,1.2,243,0.029,0.0,2.0,1.167,243,4.802,11.9,22.0,4.924,243,0.012,0.0,2.0,1.5,243,0.374,0.0,24.0,13.0,243,0.0,0.0,0.0,0.0
decode-dbo,4,1024,20,OK,242.383,111,7.721,11.0,12.0,7.721,111,0.721,0.0,76.0,40.0,111,0.054,0.0,5.0,3.0,111,0.036,0.0,2.0,1.333,111,5.351,12.5,19.0,5.351,111,0.027,0.0,1.0,1.0,111,0.874,0.0,37.0,19.4,111,0.009,0.0,1.0,1.0,237,5.051,11.0,13.0,5.051,237,0.025,0.0,3.0,1.5,237,0.013,0.0,1.0,1.0,237,0.046,0.0,3.0,1.833,237,5.004,13.0,31.0,5.09,237,0.046,0.0,5.0,2.75,237,0.709,0.0,31.0,18.667,237,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,4,1024,20,OK,252.666,111,7.631,10.5,12.0,7.631,111,1.018,0.0,72.0,28.25,111,0.144,0.0,11.0,4.0,111,0.045,0.0,2.0,1.25,111,5.387,12.0,18.0,5.436,111,0.036,0.0,1.0,1.0,111,0.946,0.0,34.0,26.25,111,0.045,0.0,2.0,1.667,243,5.206,11.0,13.0,5.206,243,0.025,0.0,1.0,1.0,243,0.016,0.0,1.0,1.0,243,0.045,0.0,2.0,1.222,243,4.959,13.9,26.0,4.979,243,0.012,0.0,2.0,1.5,243,0.856,2.7,31.0,16.0,243,0.0,0.0,0.0,0.0
serial,8,1024,20,OK,216.761,111,7.775,11.0,13.0,7.775,111,0.45,0.0,34.0,16.667,111,0.126,0.0,10.0,4.667,111,0.036,0.0,2.0,2.0,111,5.685,12.0,19.0,5.736,111,0.063,0.0,4.0,2.333,111,1.252,5.0,44.0,23.167,111,0.054,0.0,4.0,2.0,240,5.292,11.05,14.0,5.292,240,0.029,0.0,2.0,1.4,240,0.008,0.0,1.0,1.0,240,0.025,0.0,1.0,1.0,240,4.975,13.0,25.0,5.103,240,0.004,0.0,1.0,1.0,240,0.471,0.0,24.0,14.125,240,0.0,0.0,0.0,0.0
decode-dbo,8,1024,20,OK,273.136,165,8.77,11.0,13.0,8.77,165,0.479,0.0,62.0,15.8,165,0.085,0.0,6.0,3.5,165,0.036,0.0,2.0,1.5,165,5.291,11.0,19.0,5.356,165,0.024,0.0,1.0,1.0,165,0.636,0.0,37.0,26.25,165,0.03,0.0,2.0,1.667,358,7.084,11.0,14.0,7.084,358,0.028,0.0,3.0,1.429,358,0.02,0.0,2.0,1.167,358,0.036,0.0,2.0,1.444,358,5.687,12.0,30.0,5.751,358,0.017,0.0,2.0,2.0,358,0.419,0.0,20.0,13.636,358,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,8,1024,20,OK,279.736,144,6.556,10.85,13.0,6.556,144,0.701,0.0,43.0,25.25,144,0.083,0.0,5.0,3.0,144,0.042,0.0,2.0,2.0,144,4.972,12.0,21.0,5.042,144,0.021,0.0,1.0,1.0,144,1.368,0.0,44.0,28.143,144,0.104,0.0,11.0,3.75,312,5.087,11.0,14.0,5.087,312,0.019,0.0,1.0,1.0,312,0.013,0.0,1.0,1.0,312,0.029,0.0,2.0,1.286,312,4.962,12.0,36.0,5.059,312,0.003,0.0,1.0,1.0,312,0.59,0.0,31.0,15.333,312,0.0,0.0,0.0,0.0
serial,16,1024,20,OK,250.576,112,8.429,12.0,15.0,8.429,112,1.634,0.0,70.0,45.75,112,0.357,0.0,22.0,10.0,112,0.098,0.0,4.0,2.75,112,5.616,11.45,25.0,5.616,112,0.098,0.45,3.0,1.833,112,1.33,0.0,51.0,37.25,112,0.188,0.0,17.0,7.0,240,5.183,12.0,15.0,5.183,240,0.033,0.0,2.0,1.6,240,0.021,0.0,1.0,1.0,240,0.033,0.0,2.0,1.143,240,4.733,11.0,28.0,4.834,240,0.046,0.0,9.0,3.667,240,0.675,0.15,37.0,13.5,240,0.013,0.0,1.0,1.0
decode-dbo,16,1024,20,OK,327.160,114,8.509,12.7,15.0,8.509,114,0.544,0.0,30.0,12.4,114,0.439,0.0,22.0,10.0,114,0.096,0.0,3.0,2.2,114,5.263,10.0,17.0,5.31,114,0.158,0.0,11.0,4.5,114,1.298,7.4,34.0,18.5,114,0.061,0.0,5.0,2.333,247,5.437,13.7,16.0,5.437,247,0.077,0.0,7.0,2.111,247,0.028,0.0,2.0,1.167,247,0.049,0.0,2.0,1.333,247,5.057,14.4,35.0,5.27,247,0.016,0.0,3.0,2.0,247,0.636,0.0,27.0,14.273,247,0.004,0.0,1.0,1.0
decode-dbo-crosslayer,16,1024,20,OK,308.643,113,8.549,13.2,15.0,8.549,113,0.779,0.0,76.0,29.333,113,0.204,0.0,18.0,7.667,113,0.088,0.0,3.0,2.5,113,5.558,10.4,16.0,5.607,113,0.257,1.0,19.0,3.625,113,1.549,5.8,44.0,21.875,113,0.088,0.0,6.0,3.333,241,5.245,13.0,15.0,5.245,241,0.05,0.0,3.0,1.714,241,0.029,0.0,2.0,1.167,241,0.062,0.0,3.0,1.5,241,4.967,13.0,28.0,5.029,241,0.004,0.0,1.0,1.0,241,0.689,0.0,27.0,13.833,241,0.008,0.0,1.0,1.0
serial,32,1024,20,OK,301.175,114,8.798,14.7,20.0,8.798,114,0.325,0.7,9.0,6.167,114,0.86,0.0,41.0,19.6,114,0.193,0.0,6.0,4.4,114,5.386,10.0,13.0,5.386,114,0.211,0.0,9.0,6.0,114,1.833,4.05,51.0,29.857,114,0.219,0.0,23.0,12.5,245,5.669,14.0,20.0,5.669,245,0.065,0.0,6.0,2.0,245,0.024,0.0,1.0,1.0,245,0.029,0.0,2.0,1.4,245,5.261,14.0,34.0,5.326,245,0.082,0.0,5.0,3.333,245,0.645,3.0,24.0,9.875,245,0.012,0.0,1.0,1.0
decode-dbo,32,1024,20,OK,361.277,114,8.939,16.05,20.0,8.939,114,0.939,0.0,58.0,21.4,114,1.061,6.0,34.0,17.286,114,0.175,0.35,5.0,3.333,114,5.412,11.35,20.0,5.412,114,0.333,1.05,9.0,6.333,114,1.956,13.0,55.0,24.778,114,0.202,0.0,11.0,4.6,247,5.692,16.0,20.0,5.692,247,0.081,0.0,9.0,3.333,247,0.065,0.0,6.0,1.6,247,0.04,0.0,1.0,1.0,247,5.089,12.7,28.0,5.282,247,0.049,0.0,5.0,3.0,247,0.822,5.1,20.0,13.533,247,0.012,0.0,1.0,1.0
decode-dbo-crosslayer,32,1024,20,OK,379.095,114,8.947,16.75,20.0,8.947,114,1.535,3.15,58.0,29.167,114,1.079,2.1,42.0,20.5,114,0.158,0.0,5.0,3.6,114,5.781,13.0,25.0,5.937,114,0.246,0.0,17.0,5.6,114,2.5,25.05,51.0,35.625,114,0.281,0.0,16.0,6.4,247,5.603,16.0,20.0,5.603,247,0.105,0.0,4.0,2.6,247,0.057,0.0,7.0,1.75,247,0.04,0.0,1.0,1.0,247,4.887,11.0,25.0,4.967,247,0.089,0.0,11.0,4.4,247,0.992,8.8,27.0,16.333,247,0.016,0.0,1.0,1.0
serial,64,1024,20,OK,436.585,118,10.39,25.45,30.0,10.39,118,1.805,12.15,63.0,26.625,118,1.398,10.3,35.0,18.333,118,0.314,0.45,8.0,6.167,118,5.805,12.0,21.0,5.905,118,0.085,0.0,6.0,2.5,118,2.347,24.0,44.0,27.7,118,0.492,2.15,23.0,8.286,254,6.213,19.35,27.0,6.213,254,0.15,0.0,14.0,3.455,254,0.016,0.0,1.0,1.0,254,0.02,0.0,1.0,1.0,254,5.059,14.0,27.0,5.181,254,0.13,0.0,6.0,4.125,254,0.846,6.0,41.0,9.773,254,0.035,0.0,3.0,1.5
decode-dbo,64,1024,20,OK,515.335,118,10.822,30.0,30.0,10.822,118,2.297,13.15,96.0,30.111,118,0.958,8.15,35.0,14.125,118,0.314,1.45,7.0,5.286,118,5.754,14.0,18.0,5.853,118,0.542,2.6,23.0,7.111,118,3.415,24.45,72.0,31.0,118,0.441,0.3,23.0,8.667,256,6.305,20.0,27.0,6.305,256,0.273,0.0,16.0,5.833,256,0.07,0.0,12.0,3.0,256,0.051,0.25,1.0,1.0,256,5.379,15.25,29.0,5.508,256,0.176,0.0,10.0,4.5,256,0.867,7.0,24.0,10.091,256,0.016,0.0,1.0,1.0
decode-dbo-crosslayer,64,1024,20,OK,518.782,118,10.729,30.0,30.0,10.729,118,1.212,3.45,61.0,20.429,118,1.898,9.15,69.0,28.0,118,0.331,2.6,6.0,4.875,118,5.958,12.3,20.0,6.009,118,0.424,1.15,18.0,6.25,118,3.983,41.0,82.0,39.167,118,0.263,0.0,22.0,7.75,256,6.613,20.0,27.0,6.613,256,0.172,1.0,13.0,2.933,256,0.168,0.25,8.0,3.308,256,0.047,0.0,2.0,1.091,256,5.555,12.0,32.0,5.643,256,0.066,0.0,9.0,2.833,256,1.207,10.0,41.0,13.435,256,0.023,0.0,2.0,1.2
serial,128,1024,20,OK,630.295,122,14.123,49.0,49.0,14.123,122,2.115,6.65,100.0,36.857,122,2.656,14.85,88.0,36.0,122,0.664,7.9,13.0,9.0,122,5.902,11.95,20.0,5.95,122,0.508,0.0,14.0,10.333,122,5.607,33.65,100.0,42.75,122,0.861,0.0,32.0,17.5,263,8.563,34.0,42.0,8.563,263,0.205,0.0,24.0,5.4,263,0.038,0.0,2.0,1.111,263,0.011,0.0,1.0,1.0,263,5.441,15.0,39.0,5.612,263,0.144,0.0,8.0,2.923,263,0.932,9.6,27.0,9.423,263,0.125,0.0,10.0,3.3
decode-dbo,128,1024,20,OK,700.608,123,14.325,49.0,49.0,14.325,123,4.764,26.7,100.0,58.6,123,2.301,15.9,71.0,35.375,123,0.65,6.0,13.0,8.0,123,6.537,13.9,25.0,6.537,123,0.927,10.1,27.0,12.667,123,6.317,47.6,100.0,45.706,123,0.35,0.0,13.0,7.167,267,8.61,33.7,42.0,8.61,267,0.521,1.0,29.0,8.688,267,0.12,0.0,15.0,4.571,267,0.03,0.0,1.0,1.0,267,5.644,13.0,28.0,5.752,267,0.157,0.0,11.0,3.818,267,1.356,12.1,27.0,11.312,267,0.101,0.0,16.0,13.5
decode-dbo-crosslayer,128,1024,20,OK,702.100,119,14.655,49.0,49.0,14.655,119,2.697,11.4,100.0,45.857,119,1.765,3.9,86.0,30.0,119,0.689,7.1,12.0,8.2,119,5.857,14.1,19.0,6.009,119,1.277,10.0,37.0,16.889,119,5.908,45.4,100.0,46.867,119,1.092,5.0,42.0,14.444,265,8.589,34.0,42.0,8.589,265,0.075,0.0,9.0,4.0,265,0.079,0.0,11.0,3.0,265,0.023,0.0,1.0,1.0,265,5.811,15.0,28.0,5.923,265,0.192,0.0,13.0,5.1,265,0.615,3.0,20.0,7.409,265,0.023,0.0,6.0,6.0
serial,256,1024,20,OK,1041.612,135,25.23,88.0,88.0,25.23,135,5.844,51.0,100.0,78.9,135,1.904,4.5,96.0,28.556,135,1.037,12.0,13.0,10.769,135,6.074,12.3,20.0,6.074,135,1.622,0.0,65.0,43.8,135,9.185,92.3,100.0,56.364,135,1.104,4.6,40.0,16.556,295,14.895,60.0,72.0,14.895,295,0.234,0.0,24.0,7.667,295,0.393,0.0,37.0,9.667,295,0.017,0.0,2.0,1.25,295,6.014,16.3,30.0,6.16,295,0.308,1.0,21.0,5.688,295,1.4,10.0,41.0,10.868,295,0.058,0.0,11.0,2.429
decode-dbo,256,1024,20,OK,1137.203,135,26.178,88.0,88.0,26.178,135,6.904,78.7,100.0,66.571,135,3.504,25.0,96.0,33.786,135,1.178,12.0,13.0,9.938,135,6.77,16.0,36.0,6.77,135,2.504,21.1,50.0,24.143,135,9.926,72.9,100.0,55.833,135,0.778,6.0,27.0,10.5,293,15.075,60.4,72.0,15.075,293,0.471,0.0,52.0,11.5,293,0.235,0.0,29.0,5.308,293,0.02,0.0,1.0,1.0,293,5.754,14.0,41.0,5.834,293,0.638,4.0,23.0,9.35,293,1.724,13.0,37.0,12.317,293,0.157,0.0,14.0,4.182
decode-dbo-crosslayer,256,1024,20,OK,1148.943,135,26.259,88.0,88.0,26.259,135,5.237,35.3,100.0,50.5,135,2.733,23.3,96.0,30.75,135,1.111,12.0,13.0,10.714,135,6.548,15.3,43.0,6.548,135,2.733,26.0,63.0,26.357,135,9.548,55.2,100.0,56.043,135,0.43,4.3,19.0,7.25,293,14.973,60.0,72.0,14.973,293,0.355,2.0,31.0,6.118,293,0.065,0.0,5.0,1.727,293,0.017,0.0,1.0,1.0,293,6.201,16.0,43.0,6.375,293,0.3,0.0,19.0,6.286,293,1.42,7.6,31.0,10.667,293,0.017,0.0,1.0,1.0
