mode,batch,seq,tokens,status,decode_tpot_ms,h1_hbm_usage_rate_samples,h1_hbm_usage_rate_mean,h1_hbm_usage_rate_p95,h1_hbm_usage_rate_max,h1_hbm_usage_rate_nonzero_mean,h1_aicore_usage_rate_samples,h1_aicore_usage_rate_mean,h1_aicore_usage_rate_p95,h1_aicore_usage_rate_max,h1_aicore_usage_rate_nonzero_mean,h1_aivector_usage_rate_samples,h1_aivector_usage_rate_mean,h1_aivector_usage_rate_p95,h1_aivector_usage_rate_max,h1_aivector_usage_rate_nonzero_mean,h1_aicpu_usage_rate_samples,h1_aicpu_usage_rate_mean,h1_aicpu_usage_rate_p95,h1_aicpu_usage_rate_max,h1_aicpu_usage_rate_nonzero_mean,h1_ctrlcpu_usage_rate_samples,h1_ctrlcpu_usage_rate_mean,h1_ctrlcpu_usage_rate_p95,h1_ctrlcpu_usage_rate_max,h1_ctrlcpu_usage_rate_nonzero_mean,h1_hbm_bandwidth_usage_rate_samples,h1_hbm_bandwidth_usage_rate_mean,h1_hbm_bandwidth_usage_rate_p95,h1_hbm_bandwidth_usage_rate_max,h1_hbm_bandwidth_usage_rate_nonzero_mean,h1_npu_utilization_samples,h1_npu_utilization_mean,h1_npu_utilization_p95,h1_npu_utilization_max,h1_npu_utilization_nonzero_mean,h1_aicube_usage_rate_samples,h1_aicube_usage_rate_mean,h1_aicube_usage_rate_p95,h1_aicube_usage_rate_max,h1_aicube_usage_rate_nonzero_mean,h2_hbm_usage_rate_samples,h2_hbm_usage_rate_mean,h2_hbm_usage_rate_p95,h2_hbm_usage_rate_max,h2_hbm_usage_rate_nonzero_mean,h2_aicore_usage_rate_samples,h2_aicore_usage_rate_mean,h2_aicore_usage_rate_p95,h2_aicore_usage_rate_max,h2_aicore_usage_rate_nonzero_mean,h2_aivector_usage_rate_samples,h2_aivector_usage_rate_mean,h2_aivector_usage_rate_p95,h2_aivector_usage_rate_max,h2_aivector_usage_rate_nonzero_mean,h2_aicpu_usage_rate_samples,h2_aicpu_usage_rate_mean,h2_aicpu_usage_rate_p95,h2_aicpu_usage_rate_max,h2_aicpu_usage_rate_nonzero_mean,h2_ctrlcpu_usage_rate_samples,h2_ctrlcpu_usage_rate_mean,h2_ctrlcpu_usage_rate_p95,h2_ctrlcpu_usage_rate_max,h2_ctrlcpu_usage_rate_nonzero_mean,h2_hbm_bandwidth_usage_rate_samples,h2_hbm_bandwidth_usage_rate_mean,h2_hbm_bandwidth_usage_rate_p95,h2_hbm_bandwidth_usage_rate_max,h2_hbm_bandwidth_usage_rate_nonzero_mean,h2_npu_utilization_samples,h2_npu_utilization_mean,h2_npu_utilization_p95,h2_npu_utilization_max,h2_npu_utilization_nonzero_mean,h2_aicube_usage_rate_samples,h2_aicube_usage_rate_mean,h2_aicube_usage_rate_p95,h2_aicube_usage_rate_max,h2_aicube_usage_rate_nonzero_mean
decode-dbo-crosslayer,128,128,20,OK,725.019,117,9.026,16.0,16.0,9.026,117,2.53,5.4,100.0,42.286,117,1.966,4.2,96.0,25.556,117,0.744,8.4,13.0,8.7,117,4.863,10.0,15.0,4.905,117,0.085,1.0,3.0,1.429,117,4.615,37.2,96.0,49.091,117,0.068,0.0,2.0,2.0,254,5.563,14.0,16.0,5.563,254,0.114,1.0,3.0,2.071,254,0.004,0.0,1.0,1.0,254,0.024,0.0,1.0,1.0,254,4.772,13.35,27.0,4.988,254,0.059,0.0,5.0,5.0,254,1.311,13.0,31.0,15.857,254,0.004,0.0,1.0,1.0
serial,256,128,20,OK,1015.956,122,9.82,22.0,22.0,9.82,122,3.164,12.0,100.0,42.889,122,2.279,6.65,96.0,39.714,122,1.131,12.0,13.0,11.5,122,5.057,10.95,22.0,5.229,122,0.221,0.0,18.0,13.5,122,7.975,100.0,100.0,69.5,122,0.164,0.0,8.0,4.0,263,6.335,17.0,20.0,6.335,263,0.095,0.0,4.0,3.125,263,0.072,0.0,7.0,2.111,263,0.004,0.0,1.0,1.0,263,4.795,12.0,30.0,4.965,263,0.095,0.0,7.0,2.778,263,0.81,6.0,24.0,12.529,263,0.015,0.0,1.0,1.0
decode-dbo,256,128,20,OK,1113.986,123,9.984,22.0,22.0,9.984,123,3.016,13.0,100.0,37.1,123,2.114,7.0,96.0,28.889,123,1.081,11.0,13.0,10.231,123,5.146,10.0,19.0,5.364,123,0.618,3.0,22.0,8.444,123,9.228,98.9,100.0,63.056,123,0.358,0.9,16.0,6.286,267,6.524,17.0,20.0,6.524,267,0.101,0.0,4.0,3.0,267,0.071,0.0,3.0,1.9,267,0.004,0.0,1.0,1.0,267,4.715,12.7,26.0,4.937,267,0.041,0.0,4.0,2.2,267,0.835,5.1,31.0,11.737,267,0.026,0.0,1.0,1.0
decode-dbo-crosslayer,256,128,20,OK,1117.511,122,9.902,22.0,22.0,9.902,122,3.369,13.0,100.0,41.1,122,2.787,7.95,96.0,37.778,122,1.23,11.95,13.0,10.0,122,5.426,11.95,19.0,5.471,122,0.262,0.0,13.0,5.333,122,8.672,99.3,100.0,66.125,122,0.131,0.0,4.0,2.667,266,6.492,17.0,20.0,6.492,266,0.188,0.75,12.0,3.571,266,0.083,0.0,4.0,2.0,266,0.008,0.0,1.0,1.0,266,4.541,12.75,27.0,4.794,266,0.064,0.0,9.0,4.25,266,1.008,10.0,24.0,14.105,266,0.03,0.0,1.0,1.0
serial,2,256,20,OK,169.600,109,7.606,9.0,10.0,7.606,109,0.064,0.0,5.0,3.5,109,0.028,0.0,2.0,1.5,109,0.018,0.0,1.0,1.0,109,4.899,11.0,17.0,4.944,109,0.028,0.0,1.0,1.0,109,0.844,0.0,48.0,46.0,109,0.009,0.0,1.0,1.0,236,4.881,10.0,12.0,4.881,236,0.008,0.0,2.0,2.0,236,0.0,0.0,0.0,0.0,236,0.025,0.0,2.0,1.2,236,4.326,10.0,26.0,4.478,236,0.004,0.0,1.0,1.0,236,0.534,0.0,27.0,14.0,236,0.0,0.0,0.0,0.0
decode-dbo,2,256,20,OK,215.455,111,7.622,10.0,11.0,7.622,111,0.045,0.0,3.0,2.5,111,0.018,0.0,1.0,1.0,111,0.045,0.0,2.0,1.25,111,5.279,11.5,26.0,5.477,111,0.0,0.0,0.0,0.0,111,0.64,0.0,37.0,23.667,111,0.0,0.0,0.0,0.0,238,5.021,10.15,13.0,5.021,238,0.021,0.0,2.0,1.25,238,0.004,0.0,1.0,1.0,238,0.042,0.0,3.0,1.667,238,4.668,13.0,25.0,4.83,238,0.0,0.0,0.0,0.0,238,0.609,0.0,31.0,18.125,238,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,2,256,20,OK,223.232,111,7.622,10.0,11.0,7.622,111,0.063,0.0,3.0,2.333,111,0.045,0.0,2.0,1.667,111,0.027,0.0,1.0,1.0,111,5.045,11.5,21.0,5.138,111,0.018,0.0,1.0,1.0,111,0.883,0.0,48.0,24.5,111,0.018,0.0,1.0,1.0,239,4.996,11.0,13.0,4.996,239,0.025,0.0,2.0,1.2,239,0.013,0.0,2.0,1.5,239,0.046,0.0,3.0,1.571,239,4.393,11.0,27.0,4.487,239,0.0,0.0,0.0,0.0,239,0.448,0.0,17.0,13.375,239,0.0,0.0,0.0,0.0
serial,4,256,20,OK,185.720,111,7.595,9.5,10.0,7.595,111,0.495,0.0,52.0,27.5,111,0.027,0.0,2.0,1.5,111,0.027,0.0,1.0,1.0,111,4.721,10.5,20.0,4.764,111,0.018,0.0,1.0,1.0,111,0.459,0.0,27.0,25.5,111,0.009,0.0,1.0,1.0,240,4.938,10.0,12.0,4.938,240,0.021,0.0,2.0,1.25,240,0.008,0.0,1.0,1.0,240,0.033,0.0,1.0,1.0,240,4.183,12.0,27.0,4.309,240,0.004,0.0,1.0,1.0,240,0.388,0.0,27.0,13.286,240,0.0,0.0,0.0,0.0
decode-dbo,4,256,20,OK,240.305,142,7.789,9.0,11.0,7.789,142,0.275,0.0,37.0,19.5,142,0.049,0.0,4.0,3.5,142,0.035,0.0,2.0,1.25,142,5.127,9.0,20.0,5.163,142,0.007,0.0,1.0,1.0,142,0.613,0.0,37.0,17.4,142,0.021,0.0,1.0,1.0,308,4.604,10.0,12.0,4.604,308,0.032,0.0,3.0,1.429,308,0.0,0.0,0.0,0.0,308,0.036,0.0,2.0,1.375,308,4.351,11.65,64.0,4.542,308,0.013,0.0,2.0,1.333,308,0.666,0.0,34.0,18.636,308,0.0,0.0,0.0,0.0
decode-dbo-crosslayer,4,256,20,OK,232.853,111,7.622,10.0,11.0,7.622,111,0.207,0.0,19.0,11.5,111,0.045,0.0,4.0,2.5,111,0.036,0.0,1.0,1.0,111,6.577,11.0,97.0,6.636,111,0.0,0.0,0.0,0.0,111,0.793,0.0,41.0,29.333,111,0.018,0.0,1.0,1.0,241,4.979,10.0,13.0,4.979,241,0.033,0.0,2.0,1.333,241,0.017,0.0,1.0,1.0,241,0.05,0.0,2.0,1.333,241,4.071,10.0,27.0,4.21,241,0.0,0.0,0.0,0.0,241,0.668,0.0,24.0,16.1,241,0.0,0.0,0.0,0.0
